Unlocks (Earth),,,
Lemonade Stand Unlocks,,,
Name ,Goal ,Effect ,Reference 
Easy Squeezy ,25,Profit Speed Doubled ,Easy Peasy Lemon Squeezy 
Thirst Quencher ,50,Profit Speed Doubled ,
Lemon Lord ,100,Profit Speed Doubled ,
Citrus Emperor ,200,Profit Speed Doubled ,
The Zestiest ,300,Profit Speed Doubled ,Adventure Time (Lemongrab) 
Lemontopia ,400,Profit Speed Doubled ,
Acceptable! ,500,Profit ×4 ,"Adventure Time 
(Lemongrab: ""Unacceptable!"") "
Lemon Based Economy ,600,Profit ×4 ,
Lemon Religion ,700,Profit ×4 ,
Lemondammerung ,800,Profit ×4 ,"Götterdämmerung (Opera)(1876) 
The name ""Götterdämmerung"" is a German translation of the Old Norse ""Ragnarok"", or ""Twilight of the Gods"" "
LemoNirvana ,900,Profit ×4 ,Nirvana (Buddhism) 
Operating Lemon VIII ,1000,Profit ×5 ,Operating Thetan level 8 (OT VIII) is the highest auditing level in Scientology. 
Lemogeddon ,1100,Profit ×4 ,Armageddon (Christianity) 
Lemonarok ,1200,Profit ×4 ,Ragnarok (Norse) 
Citrus Of The 7 Suns ,1300,Profit ×4 ,Sermon of the Seven Suns (Buddhism) 
Lemonokereti ,1400,Profit ×4 ,Frashokereti (Zoroastrianism) 
The 2nd Squeezing ,1500,Profit ×4 ,The Second Coming (of Christ) 
Lemonlightenment ,1600,Profit ×4 ,"Enlightenment 
(Buddhism) "
The Lemonhead ,1700,Profit ×4 ,"Godhead (Hindu) 
Lemonhead candies "
Lemons All The Way ,1800,Profit ×4 ,
End Of Thirst ,1900,Profit ×4 ,
IMPOSSIBREW ,2000,Profit ×5 ,"Internet meme ""impossibru!"" "
Aromatherapy ,2250,Profit ×2 ,
iLemon Launch ,2500,Profit ×2 ,iMac products 
Vitamin Sea ,2750,Profit ×2 ,
Green Lemons ,3000,Profit ×5 ,
Rind-alot ,3250,Profit ×2 ,
Seed Money ,3500,Profit ×2 ,Investment term 
Case of the Lemondays ,3750,Profit ×2 ,Case of the Mondays 
Scurvy Savior ,4000,Profit ×5 ,
Lemon Batteries ,4250,Profit ×2 ,
Free Tequila ,4500,Profit ×2 ,
Beverage of Champions ,4750,Profit ×2 ,"Breakfast of Champions (Wheaties, Kurt Vonnegut) "
Drink Up ,5000,Profit ×5 ,
Not a Problemon ,5250,Profit ×3 ,Problem + lemon 
Deficitrus ,5500,Profit ×3 ,Deficit (Economics term) 
Long Live the Lemonarch ,5750,Profit ×3 ,
Shining Emblemon ,6000,Profit ×5 ,
The Lemonolith ,6250,Profit ×3 ,
Lemonocle ,6500,Profit ×3 ,Monocle (Eyewear) 
Very A-peeling ,6750,Profit ×3 ,
King SoLemon ,7000,Profit ×5 ,"King Solomon (King of Israel - Judaism, Christianity, Islam) "
Seedless Wonder ,7000,Profit ×3 ,
Lifts Stains ,7250,Profit ×3 ,Stain removal is a property of lemon juice. 
Lemonopoly ,7500,Profit ×3 ,
Lucky Lemons ,7777,Profit ×3 ,Lemons are an icon on many slot machines 
Lemonstrous Heights ,8000,Profit ×3 ,
You're Lemongst Friends ,8200,Profit ×3 ,
Lemonotony ,8400,Profit ×3 ,
Metaxylemonic Research ,8600,Profit ×3 ,"Metaxylem 
(Biology) "
Parabolemon Equations ,8800,Profit ×3 ,Parabolic equations 
Precious... ,9000,Profit ×3 ,Lord of the Rings (Book Series)(1937) 
Once More To The Juicer ,9100,Profit ×3 ,"""Once more unto the breach"" 
(Shakespeare - Henry V) "
Main Squeeze ,9200,Profit ×3 ,
Endless Demand ,9300,Profit ×3 ,
Luck Be A Lemon ,9400,Profit ×3 ,"Luck Be A Lady 
(Frank Sinatra) "
The Lemoning ,9500,Profit ×3 ,The reckoning 
Lemonlemonlemonlemonlemon ,9600,Profit ×3 ,
Lemonocolor Reality ,9700,Profit ×3 ,
Lemoney ,9800,Profit ×3 ,
The Penultimate Moment ,9999,Profit ×1.9999 ,
Life's Manager ,10000,Profit ×5 ,Portal 2
