Name ,Goal ,Effect 
A Capital Idea ,25,Profit Speed Doubled 
Not-So-Petty Cash ,50,Profit Speed Doubled 
Too Big To Fail ,100,Profit Speed Doubled 
Galactic Reserve ,200,Profit Speed Doubled 
All The Moneys ,300,Profit Speed Doubled 
Bourgeois Banks ,400,Profit Speed Doubled 
It Prints Money ,500,Profit ×2 
Ritual Residuals ,600,Profit ×2 
Money Trees ,700,Profit ×2 
Recession Proof ,800,Profit ×2 
Open On Weekends ,900,Profit ×2 
Monetary Overlord ,1000,Profit ×3 
Your Face On Money ,1100,Profit ×2 
No Interest Loans ,1200,Profit ×2 
Taxes Make Sense ,1300,Profit ×2 
Bank Teller House Calls ,1400,Profit ×2 
Loveably Snarky ATMs ,1500,Profit ×2 
Unlimited Overdraft ,1600,Profit ×2 
More Like FAIR Miles ,1700,Profit ×2 
Please Sign Here ,1800,Profit ×2 
Mega Buck Research ,1900,Profit ×2 
Multiverse Bank Est. ,2000,Profit ×5 
Indestructible Bank Bills ,2250,Profit Speed Doubled 
Fat Cat Scratch Post ,2500,Profit Speed Doubled 
Hack Proof Accounts ,2750,Profit Speed Doubled 
1st National Piggy Bank ,3000,Profit Speed Doubled 
Recuse Rescue ,3250,Profit Speed Doubled 
Conflict of Win-terest ,3500,Profit Speed Doubled 
Now Accepting Blood ,3750,Profit Speed Doubled 
Truly The Bank Of Banks ,4000,Profit Speed Doubled 
Mo' Money ,4250,Profit ×3 
Mad Money ,4500,Profit ×3 
Cash-ual Fridays ,4750,Profit ×3 
Rothschild ,5000,Profit ×5 
#1 Banker Mug ,5250,Profit ×5 
Smooth Operator ,5500,Profit ×3 
Gold Backed ,5750,Profit ×3 
Cash. Must. Flow. ,6000,Profit ×5 
Branches In Branches ,6250,Profit ×3 
Vest Investments ,6500,Profit ×3 
More Roman Columns ,6750,Profit ×3 
Money Is Valuable ,7000,Profit ×5 
Legal Tender Embrace ,7250,Profit ×3 
Crash-Proof ,7500,Profit ×3 
Magnificence ,7750,Profit ×3 
Bank Right ,8000,Profit ×5 
Ascend The Ivory Tower ,8250,Profit ×3 
The Offest Shore ,8500,Profit ×3 
