Name ,Goal ,Effect 
Isn't That Vierd? ,1,5 Free Gold 
Mogul ,25,Profit Speed Doubled 
Oligarch ,50,Profit Speed Doubled 
Pull-Vault ,50,1 spin on the Slot Machine 
Tycoon ,100,Profit Speed Doubled 
I Am Ya Fahza! ,100,5 Free Gold 
Adam Smith Award ,200,Profit Speed Doubled 
Jack Pot O'Gold ,200,1 spin on the Slot Machine 
Universal Capitalist ,300,Profit Speed Doubled 
Theoretical Economist ,400,Profit Speed Doubled 
Casino Royale with Cheese ,400,1 spin on the Slot Machine 
The One True Investor ,500,Profit Doubled 
Shigar Und A Waffle? ,500,10 Free Gold 
Game Of Loans ,600,Profit Doubled 
That Can’t Be Good ,666,Profit Doubled 
Black Ink Inc ,700,Profit Doubled 
Lucky 777s ,777,Profit Doubled 
Can You Slot Me In? ,777,1 spin on the Slot Machine 
Lord Of Lobbyists ,800,Profit Doubled 
Midas ,900,Profit Doubled 
Literally Can’t Even ,1000,Profit Doubled  
"Yesh, Dat Is A Keepah! ",1000,15 Free Gold 
Psyche! ,1100,Profit Doubled 
There Can Only Be Ones ,1111,Profit Doubled 
The Hang Of It ,1200,Profit Doubled 
Oceans Elevigintillion ,1200,1 spin on the Slot Machine 
Invisible Hand High Five ,1300,Profit Doubled 
Captain Capitalism ,1400,Profit Doubled 
$ Shaped Pool ,1500,Profit Doubled 
You’re The Boss ,1600,Profit Doubled 
Perspective Annihilation ,1700,Profit Doubled 
New Frontier Capitalism ,1800,Profit Doubled 
It’s Never Enough ,1900,Profit Doubled 
Nice Round Numbers ,2000,Profit Doubled 
Big Pit Bossman ,2000,1 spin on the Slot Machine 
Frequent Updates ,2100,Profit Doubled 
Punctual Launches ,2200,Profit Doubled 
2222,2222,Profit Doubled 
Audience Rapport ,2300,Profit Doubled 
A Top Hat Is You ,2400,Profit Doubled 
A True AdVenture Capitalist ,2500,Profit Doubled 
Toite Like A Toiger ,2500,20 Free Gold 
Good Gracious ,2600,Profit Doubled 
Gold Pressed Latinum ,2700,Profit Doubled 
FASTER! ,2800,Profit Doubled 
A Noteworthy Day ,2900,Profit Doubled 
Adam Smith Is Proud ,3000,Profit Doubled 
Make it Rain Man! ,3000,1 spin on the Slot Machine 
Keep Climbing ,3100,Profit Doubled 
Upward Trend ,3200,Profit Doubled 
Boom ,3300,Profit Doubled 
3333,3333,Profit Doubled 
Magical Pixels ,3400,Profit Doubled 
The Roaring 3500s ,3500,Profit Doubled 
Robert's Dinero ,3500,1 spin on the Slot Machine 
Take What You Can ,3600,Profit Doubled 
Where's The Roof On This? ,3700,Profit Doubled 
Symphon-Economics ,3800,Profit Doubled 
Pecunia Vincit Omnia ,3900,Profit Doubled 
The Legend Continues ,4000,Profit Doubled 
An Amster-dam Good Time ,4000,30 Free Gold 
12th Cup of Coffee ,4000,1 spin on the Slot Machine 
Who Writes These Things? ,4100,Profit Doubled 
Humongous Numbers ,4200,Profit Doubled 
Penny Pincher ,4300,Profit Doubled 
Glorious ,4400,Profit Doubled 
Always I Will Believe In You ,4500,Profit Doubled 
Slot Pull Tunnel Syndrome ,4500,1 spin on the Slot Machine 
And Make Believe In You ,4600,Profit Doubled 
And Live In Harmony ,4700,Profit Doubled 
Battery Eater ,4800,Profit Doubled 
Never Give Up ,4900,Profit Doubled 
Achievement ,5000,Profit Doubled 
I Love GOOOOOOLD! ,5000,50 Free Gold 
