Name ,Goal ,Effect ,References 
Working At The Carwash ,25,Profit Speed Doubled ,
Wash And Wax ,50,Profit Speed Doubled ,
Supreme Service ,100,Profit Speed Doubled ,
Diamond Sealed ,200,Profit Speed Doubled ,
Infinite Clean ,300,Profit Speed Doubled ,
Artificially Intelligent Suds ,400,Profit Speed Doubled ,
Grey Goo Detergent ,500,Profit ×2 ,
Downloadable Wash ,600,Profit ×2 ,
Stronger Than Dirt ,700,Profit ×2 ,
Free Car With Purchase ,800,Profit ×2 ,
When You Wash Upon A Star ,900,Profit ×2 ,When You Wish Upon A Star (Pinocchio) 
On Every Corner ,1000,Profit ×3 ,
Planet Saturation ,1100,Profit ×2 ,
Horses Too ,1200,Profit ×2 ,
Home Installations ,1300,Profit ×2 ,
Car Mounted Washers ,1400,Profit ×2 ,
Bubbles! ,1500,Profit ×2 ,
Are You Reading These? ,1600,Profit ×2 ,
Self Washing Cars ,1700,Profit ×2 ,
Temporal Pre-Wash ,1800,Profit ×2 ,
Wax On Wax Off ,1900,Profit ×2 ,"Wax on, wax off (The Karate Kid) "
Everything Is Clean ,2000,Profit ×5 ,
Free Gold Plating ,2100,Profit ×3 ,
Rim Shiners ,2200,Profit ×3 ,
Cash Launder-ing ,2300,Profit ×3 ,Money Laundering (Crime) 
Hamster Powered ,2400,Profit ×3 ,
Self Service ,2500,Profit ×3 ,
The Bogdan Effect ,2600,Profit ×3 ,
Malamine Foam! ,2700,Profit ×3 ,
No Bug Guts ,2800,Profit ×3 ,
Garden Hose Discount ,2900,Profit ×3 ,
Probably Too Many ,3000,Profit ×3 ,
The Car-tel ,3100,Profit ×3 ,
SCRUB ,3200,Profit ×3 ,
Supplies! ,3300,Profit ×3 ,
George Wash-ington Sale ,3400,Profit ×3 ,
Nearly Done ,3500,Profit ×3 ,
Car Wash Washers ,3600,Profit ×3 ,
Car Wash Washer Washers ,3700,Profit ×3 ,
Dance Parties ,3800,Profit ×3 ,
Carpool Discounts ,3900,Profit ×3 ,
Convertible Friendly ,4000,Profit ×5 ,
Scrub Harder ,4100,Profit ×3 ,
Shares Are Up ,4200,Profit ×3 ,
Clean Capitalism ,4300,Profit ×3 ,
Demand Continues ,4400,Profit ×3 ,
The Freshest ,4500,Profit ×3 ,
"Lean, Mean, Clean ",4600,Profit ×3 ,
7 Second Suds ,4700,Profit ×3 ,
But Wait There's More ,4800,Profit ×3 ,
Really? More? ,4900,Profit ×3 ,
All The Suds ,5000,Profit ×5 ,
Probably Overkill ,5250,Profit ×3 ,
Pristine ,5500,Profit ×3 ,
