Name ,Goal ,Effect ,Reference 
Lots of Dough ,25,Profit Speed Doubled ,
Extra Sprinkles ,50,Profit Speed Doubled ,
Deep Fried ,100,Profit Speed Doubled ,
Donut Filled Donuts ,200,Profit Speed Doubled ,
Doughnut Shaped Universe ,300,Profit Speed Doubled ,
Unified Donut Theory ,400,Profit Speed Doubled ,
Final Donut ,500,Profit ×2 ,
Donut Flavored Coffee ,600,Profit ×2 ,
Golden Glaze ,700,Profit ×2 ,
Guaranteed Minimal Donuts ,800,Profit ×2 ,
Roll Up The Outer Rim ,900,Profit ×2 ,
Wireless Donuts ,1000,Profit ×3 ,
Got Donuts? ,1100,Profit ×2 ,
Long John Long Johns ,1200,Profit ×2 ,
Reality DonuTV ,1300,Profit ×2  ,
Donut Addiction Hotlines ,1400,Profit ×2 ,
Donuts Safe Houses ,1500,Profit ×2 ,
Regenerating Donuts ,1600,Profit ×2 ,
Heat Seaking Pastries ,1700,Profit ×2 ,
Submit ,1800,Profit ×2 ,
The Donutrix ,1900,Profit ×2 ,
Then Who Was Donut? ,2000,Profit ×5 ,
Pumpkin Flavored ,2100,Profit ×3 ,
Strangely Popular ,2200,Profit ×3 ,
Self Dunking ,2300,Profit ×3 ,
Double Rainbow Sprinkles! ,2400,Profit ×3 ,
Edible Receipts ,2500,Profit ×3 ,
Dough-Cubes ,2600,Profit ×3 ,
Fifth Dimension Frosting ,2700,Profit ×3 ,
The Adar Standard ,2800,Profit ×3 ,
Donut Don’t it? ,2900,Profit ×3 ,
Temperance Solvent ,3000,Profit ×3 ,
Build Your Own ,3100,Profit ×3 ,
Cream Cheese Based ,3200,Profit ×3 ,
Gone Viral? ,3300,Profit ×3 ,
Chicken Options ,3400,Profit ×3 ,
0 Calories ,3500,Profit ×3 ,
Donut Booths ,3600,Profit ×3 ,
Liquid Donuts ,3700,Profit ×3 ,
Sassy Chefs ,3800,Profit ×3 ,
Everyone Knows Your Name ,3900,Profit ×3 ,
Cookies Too ,4000,Profit ×3 ,
Gold Leaf Sprinkles ,4100,Profit ×3 ,
The Only Food Group ,4200,Profit ×3 ,
Innuendonut ,4300,Profit ×3 ,
Tae Kwon Donut ,4400,Profit ×3 ,Tae Kwon Do 
5th Dimension Donuts ,4500,Profit ×3 ,
Creme Filled Filled ,4750,Profit ×3 ,
Basically Sugar ,5000,Profit ×3 ,
Gluten Free Water ,5250,Profit ×3 ,
Vacuum Sealed ,5500,Profit ×3 ,
Hasty Pastry ,5750,Profit ×3 ,
6000 Is A Lot ,6000,Profit ×3 ,
Philosophiae Donutus Principia ,6250,Profit ×3 ,
