Name ,Goal ,Effect ,References 
Lights! ,25,Profit Speed Doubled ,
Camera! ,50,Profit Speed Doubled ,
Action! ,100,Profit Speed Doubled ,
Blockbuster! ,200,Profit Speed Doubled ,
Statuette Sweeper! ,300,Profit Speed Doubled ,
Library Of Congress ,400,Profit Speed Doubled ,
Cultural Masterpiece ,500,Profit ×2 ,
Cult Following ,600,Profit ×2 ,
Holodeck Tech ,700,Profit ×2 ,
Dream-To-Screen Implants ,800,Profit ×2 ,
Rosebud... ,900,Profit ×2 ,
Wizard Vampire Decalogy ,1000,Profit ×3 ,
The Cinema Constant ,1100,Profit ×2 ,
$0.99 Admission ,1200,Profit ×2 ,
Crossover Cornucopia ,1300,Profit ×2 ,
Inconsiderate Patron Muted ,1400,Profit ×2 ,
Wake Up... ,1500,Profit ×2 ,
This Game Has You... ,1600,Profit ×2 ,
But It’s No Game... ,1700,Profit ×2 ,
It’s A SPACE STATION! ,1800,Profit ×2 ,
Free Popcorn! ,1900,Profit ×2 ,
Pax Hollywooda ,2000,Profit ×5 ,
Eye-Max ,2100,Profit Speed Doubled ,I-Max 3D 
Glasses Free 4D ,2200,Profit ×2 ,
98 Hour Award Show ,2300,Profit Speed Doubled ,
Feature Length Trailer ,2400,Profit ×2 ,
Privacy Domes ,2500,Profit Speed Doubled ,
Director’s Cutlass ,2600,Profit ×2 ,Director's Cut movies 
Bad Movie Executions ,2700,Profit Speed Doubled ,
Critical Hit! ,2800,Profit ×2 ,
Choose Your Own Ending ,2900,Profit ×2 ,
Nothing Sucks ,3000,Profit ×2 ,
Physical Props ,3250,Profit Speed Doubled ,
Kibrick Clones ,3500,Profit ×2 ,
Make-A-Movie Booths ,3750,Profit ×2 ,
Under Budget ,4000,Profit ×2 ,
Film Renaissance ,4250,Profit ×3 ,
Here’s Looking At You ,4500,Profit ×3 ,"""Here's looking at you, kid."" "
It Was The Sled ,4750,Profit ×3 ,
Show Me The Money ,5000,Profit ×5 ,
Daisy... Daisy... ,5250,Profit ×3 ,
Greenlit ,5500,Profit ×3 ,
104% Rating ,5750,Profit ×3 ,
Skyward Thumbs ,6000,Profit ×9 ,
Triple Triple Triple Threat ,6250,Profit ×3 ,
Max-I-Max-Ium ,6500,Profit ×3 ,
Toast ,6750,Profit ×3 ,
Tinsel Megapolis ,7000,Profit ×9 ,
Industry Jargon ,7250,Profit ×3 ,
Alan Smithee Award ,7500,Profit ×3 ,Adam Smith Award 
That's Show Biz ,7750,Profit ×3 ,
