Name ,Goal ,Effect ,References 
Extra Extra! ,25,Newspaper Delivery Profit Speed Doubled ,
Read All About It ,50,Newspaper Delivery Profit Speed Doubled ,
Daily Deliveries ,100,Newspaper Delivery Profit Speed Doubled ,
Lemonade Ads ,125,Lemonade Stand Profit ×2 ,
Car Wash Ads ,150,Car Wash Profit ×2 ,
Pizza Ads ,175,Pizza Delivery Profit ×2 ,
Digital Digest ,200,Newspaper Delivery Profit Speed Doubled ,
Donut Ads ,225,Donut Shop Profit ×2 ,
Lemonade Coupons ,250,Lemonade Stand Profit ×3 ,
Car Wash Coupons ,275,Car Wash Profit ×3 ,
Telepathic News ,300,Newspaper Delivery Profit Speed Doubled ,
Pizza Coupons ,325,Pizza Delivery Profit ×3 ,
Donut Coupons ,350,Donut Shop Profit ×3 ,
Lemon Scented ,375,Lemonade Stand Profit ×4 ,
News FROM THE FUTURE ,400,Newspaper Delivery Profit Speed Doubled ,
New Car Scented ,425,Car Wash Profit ×4 ,
Pizza Scented ,450,Pizza Delivery Profit ×4 ,
Donut Scented ,475,Donut Shop Profit ×4 ,
Subliminal Shrimp ,500,Shrimp Boat Profit ×11 ,
Lemonade Samples ,525,Lemonade Stand Profit ×5 ,
Soap Samples ,550,Car Wash Profit ×5 ,
Pizza Samples ,575,Pizza Delivery Profit ×5 ,
Such Hockey ,600,Hockey Team Profit ×11 ,
Donut Samples ,625,Donut Shop Profit ×5 ,
Lemon Sudoku ,650,Lemonade Stand Profit ×6 ,
Car Word Search ,675,Car Wash Profit ×6 ,
Mandatory Viewing ,700,Movie Studio Profit ×11 ,
Pizza Crossword ,725,Pizza Delivery ×6 ,
Donut Horoscope ,750,Donut Shop ×6 ,
Lemon Propaganda ,775,Lemonade Stand Profit ×3 ,
Newspeak Stocks ,800,Bank Profit ×11 ,"Newspeak 
(George Orwell - 1984) "
Car Wash Propaganda ,825,Car Wash Profit ×7 ,
Pizza Propaganda ,850,Pizza Delivery Profit ×7 ,
Donut Propaganda ,875,Donut Shop Profit ×7 ,
READ BUY GAS OBEY ,900,Oil Company Profit ×11 ,They Live (Film)(1988) 
Shrimp Reminder ,925,Shrimp Boat ×7 ,
Origami Puck ,950,Hockey Team ×7 ,
Spoiler Free World ,975,Movie Studio Profit ×7 ,
Media Rebirth ,1000,Newspaper Delivery Profit ×7777777 ,
Pre-Approved Applications ,1025,Bank Profit ×7 ,
Oil Coup-on ,1050,Oil Company Profit ×7 ,"Oil Coup 
(History, Politics) "
Page 3 Ads ,1075,Car Wash Profit ×8 ,"The Sun 
(Famous Newspaper which features topless models on p3) "
Edible Ads ,1100,Pizza Delivery Profit ×8 ,
Honey Glazed Ads ,1125,Donut Shop Profit ×8 ,
Cocktail Sauced Ads ,1150,Shrimp Boat Profit ×8 ,
Beer Soaked Ads ,1175,Hockey Team Profit ×8 ,
Talkie Ads ,1200,Movie Studio Profit ×8 ,
Ads On Money ,1225,Bank Profit ×8 ,
Oily Ads ,1250,Oil Company ×8 ,
Internet Integration ,1300,Newspaper Delivery Profit ×7777 ,
Lemon Bribes ,1350,Lemonade Stand Profit ×9 ,
Car Wash Bribes ,1400,Car Wash Profit ×9 ,
Pizza Bribes ,1450,Pizza Delivery Profit ×9 ,
Donut Bribes ,1500,Donut Shop Profit ×9 ,
Shrimp Bribes ,1550,Shrimp Boat Profit ×9 ,
Hockey Bribes ,1600,Hockey Team Profit ×9 ,
Movie Bribes ,1650,Movie Studio Profit ×9 ,
Money Bribes ,1700,Bank Profit ×9 ,
Gas Bribes ,1750,Oil Company Profit ×9 ,
Eat Shrimp Or Else ,1800,Shrimp Boat Profit ×10 ,
Watch Hockey Or Pay ,1850,Hockey Team Profit ×10 ,
Go To Movies or Perish ,1900,Movie Studio Profit ×10 ,
Bank With Us Forever ,1950,Bank Profit ×10 ,
Printer Ink Discount ,2000,Newspaper Delivery Profit ×7777 ,
Car Wash Applications ,2100,Car Wash Profit ×15 ,
Pizza Poetry ,2200,Pizza Profit ×15 ,
Donutopia ,2300,Donut Profit ×15 ,
Paper Pirate Hats ,2400,Shrimp Boats Profit ×15 ,Long John Silvers restaurant chain 
New Gnu Knews News ,2500,Newspaper Delivery Profit ×777 ,
Embedded Movies ,2600,Movie Studios Profit ×15 ,
Top 10 Bank List ,2700,Banks Profit ×15 ,
Hilarious Oil Ads ,2800,Oil Companies Profit ×15 ,
Pulitzer Lemon Article ,2900,Lemonade Stand Profit ×15 ,Pulitzer Prize 
Recursion ,3000,Newspaper Delivery Profit ×777 ,
24 Hour Car News ,3100,Car Wash Profit ×20 ,
Insightful Commentary ,3200,Hockey Teams Profit ×20 ,
Bank Shaped Pages ,3300,Banks Profit ×20 ,
Click Baits ,3400,Oil Companies Profit ×20 ,
That Old Chestnut ,3500,Newspaper Delivery Profit ×777 ,
Puck Scandal ,3600,Hockey Team Profit ×25 ,
Adorable Newsies ,3700,Movie Studio Profit ×25 ,
Panic Driven Headlines ,3800,Bank Profit ×25 ,
Laminated Ads ,3900,Oil Company Profit ×25 ,
Do You Remember... ,4000,Newspaper Delivery Profit ×30 ,
...So Long Ago... ,4100,Lemonade Stand Profit ×30 ,
...When Newspapers... ,4200,Car Wash Profit ×30 ,
...Were Worthless? ,4300,Pizza Delivery Profit ×30 ,
Those Days Are Long Past... ,4400,Donut Shop Profit ×30 ,
...And Though It Is Strange... ,4500,Shrimp Boat Profit ×30 ,
...I'm Sure You'd Agree... ,4600,Hockey Team Profit ×30 ,
...Newspapers Proved Themselves... ,4700,Movie Studio Profit ×30 ,
...And It Was Shrimp Boats... ,4800,Bank Profit ×30 ,
...That Sucked All Along. ,4900,Oil Company Profit ×30 ,
x50 ,5000,Newspaper Delivery Profit ×50 ,
x50 Again ,5100,Newspaper Delivery Profit ×50 ,
x50 Yet Again ,5200,Newspaper Delivery Profit ×50 ,
x50 For Good Measure ,5300,Newspaper Delivery Profit ×50 ,
The Rest Is Silence ,5400,Newspaper Delivery Profit ×50 ,
