Name ,Goal ,Effect ,References 
30 Min or Less ,25,Profit Speed Doubled ,
Fancy Toppings ,50,Profit Speed Doubled ,
Gourmet Crust ,100,Profit Speed Doubled ,
Free Cheese Bread ,200,Profit Speed Doubled ,
Home Rehydrator ,300,Profit Speed Doubled ,
Intravenous Cheese ,400,Profit Speed Doubled ,
Everlasting Pepperoni ,500,Profit ×2 ,
Pizza Stuffed Pizza ,600,Profit ×2 ,
Calzone Breakthrough ,700,Profit ×2 ,
Self Microwaving ,800,Profit ×2 ,
One With Everything ,900,Profit ×2 ,
It Smells Like Pizza ,1000,Profit ×3 ,
That’s Amore ,1100,Profit ×2 ,
Over 1 Decillion Served ,1200,Profit ×2 ,
Wibbly Wobbly Deliveries ,1300,Profit ×2 ,
Deep Dish Discovery ,1400,Profit ×2 ,
Pizza Cluster Bombs ,1500,Profit ×2 ,
Pizza Putt! ,1600,Profit ×2 ,
New Cheese Sources ,1700,Profit ×2 ,
Pizza Roll Call Centers ,1800,Profit ×2 ,
Unobtanium Crust ,1900,Profit ×2 ,
The Pie In The Sky ,2000,Profit ×5 ,
Pizza Saline Dip ,2100,Profit ×3 ,
Pizza Squared ,2200,Profit ×3 ,
Chow-abunga ,2300,Profit ×3 ,
Counts As Vegetable ,2400,Profit ×3 ,
More Like Pizza-What ,2500,Profit ×3 ,
Cold Pizza ,2600,Profit ×3 ,
Chain of Chains ,2700,Profit ×3 ,
Pizza Holiday Declared ,2800,Profit ×3 ,
Pizza Planescape ,2900,Profit ×3 ,
I Am Pizza ,3000,Profit ×3 ,
Entangled Two For 1 ,3100,Profit ×3 ,
Hand Tossed Employees ,3200,Profit ×3 ,
Romantic Dinner ,3300,Profit ×3 ,
Vegan Options ,3400,Profit ×3 ,
Cake Flavored Pizza ,3500,Profit ×3 ,"Gravity Falls S2 E8, 
""Blendin's Game"" "
Pizza Flavored Cake ,3600,Profit ×3 ,"Gravity Falls S2 E8, 
""Blendin's Game"" "
Witty Achievement Text ,3700,Profit ×3 ,
Deliver Us ,3800,Profit ×5 ,
Free Wings ,3900,Profit ×3 ,
Unlimited Toppings ,4000,Profit ×5 ,
Causality Crust ,4100,Profit ×3 ,
Stand And Deliver ,4200,Profit ×3 ,
It IS Delivery ,4300,Profit ×3 ,
Pizzanity ,4400,Profit ×3 ,
By The Slice ,4500,Profit ×3 ,
Large Hadron Crust-ollider ,4600,Profit ×3 ,
Cold ,4700,Profit ×3 ,
Origami Boxes ,4800,Profit ×3 ,
Free Croutons ,4900,Profit ×3 ,
Fancy Napkins ,5000,Profit ×5 ,
Always Room ,5250,Profit ×3 ,
"Hamburgers, Anyone? ",5500,Profit ×3 ,
Thus Spoke Pizzarathustra ,5750,Profit ×3 ,
