Name ,Goal ,Effect ,Reference 
Wanna Buy A Shrimp Boat? ,25,Profit Speed Doubled ,
Surf and Turf ,50,Profit Speed Doubled ,
Gumbo King ,100,Profit Speed Doubled ,
Gigantic Shrimp ,200,Profit Speed Doubled ,
Galactic Fleet ,300,Profit Speed Doubled ,Star Wars 
Celestial Shrimp ,400,Profit Speed Doubled ,
Cosmic Grill ,500,Profit ×2 ,
Black Hole Trolling ,600,Profit ×2 ,
The Shrimpularity ,700,Profit ×2 ,
All You Can Eat ,800,Profit ×2 ,
Shrimpocalypse ,900,Profit ×2 ,
Shellfish Selfish ,1000,Profit ×3 ,
Prawns Are Good Too ,1100,Profit ×2 ,
Begun The Shrimp Wars Have ,1200,Profit ×2 ,
Gumbo’s Rebellion ,1300,Profit ×2 ,
King in The North Sea ,1400,Profit ×2 ,
Crustacean Uprising ,1500,Profit ×2 ,
Nuclear Shish Kabobs ,1600,Profit ×2 ,
The Blackwater BBQ ,1700,Profit ×2 ,
Battle of The Bilge ,1800,Profit ×2 ,
Lobster Betrayal! ,1900,Profit ×2 ,
The Red Wetting ,2000,Profit ×5 ,
Butter ,2100,Profit ×3 ,
The Spice Flows ,2200,Profit ×3 ,
Mermaid-Safe Nets ,2300,Profit ×3 ,
Room On The Barbie ,2400,Profit ×3 ,
All In The De-tails ,2500,Profit ×3 ,
Miniature Jumbo Shrimp ,2600,Profit ×3 ,
Darling It’s Better ,2700,Profit ×3 ,
A Nice Chianti ,2800,Profit ×3 ,
Shrimpulse ,2900,Profit ×3 ,
Hungry? ,3000,Profit ×3 ,
Shrimp-Based Fashions ,3250,Profit ×5 ,
Shrimpshrimpshrimpshrimp ,3500,Profit ×5 ,
Never Gets Old ,3750,Profit ×3 ,
A Complete Breakfast ,4000,Profit ×5 ,
What Is Even Happening ,4250,Profit ×3 ,
No ,4500,Profit ×5 ,
Stroke! ,4750,Profit ×3 ,
Off The Port Bow ,5000,Profit ×5 ,
Just Keep Shrimping ,5250,Profit ×3 ,"""Just keep swimming!"" (Finding Nemo) "
Snap To It ,5500,Profit ×3 ,
Butter Prices Soar ,5750,Profit ×3 ,
The Meaning Of Garlic ,6000,Profit ×5 ,
From Heck's Heart... ,6250,Profit ×3 ,
...I Skewer Thee! ,6500,Profit ×5 ,
