Name ,Goal ,Effect ,Reference 
We Come In Peace ,10,Profit x6 ,
Close Encounters ,50,Profit x6 ,Close Encounters of the 3rd Kind (1977) 
Ack Ack Ack! ,100,Profit x6 ,
Brains Over Braun ,200,Profit x6 ,
Take Me To Your Leader ,400,Profit x6 ,
Convent-ional Wisdom ,600,Profit x6 ,
De-humanitarian ,800,Profit x6 ,
Cerebellumdddd ,1000,Profit Speed x2 ,
Nun Sense ,1200,Profit x6 ,
Hyper Hippocampus ,1400,Profit x6 ,
Mother Brain Superior ,1600,Profit x6 ,
Independence Yay ,1800,Profit x6 ,
Goldblum Sachs ,2000,Profit x6 ,
Nun Shall Pass ,2200,Profit x6 ,
Why Cant We All Just Get Along? ,2400,Profit x6 ,
No Weapons! No Tricks! ,2600,Profit x6 ,
Little Green Manager ,2800,Profit x6 ,
Nun of Your Business ,3000,Profit x6 ,
Lasers Are Cool ,3200,Profit x6 ,
Bubble Gum ,3400,Profit x6 ,
Head Swap ,3600,Profit x6 ,
Devito Special ,3800,Profit x6 ,
It Is An Awesome Sight ,4000,Profit x6 ,
Like A Giant Hupcap ,4200,Profit x6 ,
2 Of 3 Branches Ain't Bad ,4400,Profit x6 ,
The Suede That Mows ,4600,Profit x6 ,
Thanks Grandma ,4800,Profit x6 ,
You'll Need Lawyers ,5000,Profit x6 ,
Don't Run! ,5200,Profit x6 ,
We're Your Friends ,5400,Profit x6 ,
Sign Of The Donut ,5600,Profit x6 ,
They Ain't Getting The TV ,5800,Profit x6 ,
War Of The Words ,6000,Profit x6 ,
Cruise Control ,6200,Profit x6 ,
Tripod Triumph ,6400,Profit x6 ,
HEPA Filters ,6600,Profit x6 ,
Illegal Aliens ,6800,Profit x6 ,
Come In Peace... ,7000,Profit x6 ,
Go In Pieces ,7200,Profit x6 ,
Set Phasers To Stunning ,7400,Profit x6 ,
Exploding Heads ,7600,Profit x6 ,
Peace Talks ,7800,Profit x6 ,
Agressive Negotiation ,8000,Profit x6 ,
Bunny Ears ,8200,Profit x6 ,
Meaty Treaty ,8400,Profit x6 ,
Sign On The Line ,8600,Profit x6 ,
Super Fine Print ,8800,Profit x6 ,
Diplomacy Dip ,9000,Profit x6 ,
Soft Touch ,9200,Profit x6 ,
Walk Softly ,9400,Profit x6 ,
...And Carry A Big Stick Of Gum ,9600,Profit x6 ,
Words ,9800,Profit x6 ,
Charisma Check ,10000,Profit x6 ,
Hairy Emissary ,10200,Profit x6 ,
The Great Mediate ,10400,Profit x6 ,
Conciliator Troy ,10600,Profit x6 ,
Talks Talks And More Talks ,10800,Profit x6 ,
Am-Bad-Ass-Ador ,11000,Profit x6 ,
Public Relations ,11200,Profit x6 ,
Annoy The Envoy ,11400,Profit x6 ,
We Have An Accord ,11600,Profit x6 ,
Sticks And Stones ,11800,Profit x6 ,
May Break My Bones ,12000,Profit x6 ,
But Lasers Disintegrate Flesh ,12200,Profit x6 ,
Very Few Scandals ,12400,Profit x6 ,
Cut A Deal ,12600,Profit x6 ,
Arbitrate-ors ,12800,Profit x6 ,
Conflict Of Interest ,13000,Profit x6 ,
Battle Of Words ,13200,Profit x6 ,
Parlay? ,13400,Profit x6 ,
More Guidelines Than Rules ,13600,Profit x6 ,
Covenant ,13800,Profit x6 ,
Adjudication Vacation ,14000,Profit x6 ,
