Name ,Goal ,Effect ,Reference 
Onward! ,1,Profit speed of all investments x2 ,
To Arms! ,50,Profit speed of all investments x2 ,
Mobilization! ,100,Profit speed of all investments x2 ,
All Hands! ,200,Profit speed of all investments x2 ,
With All Deliberate Speed ,300,Profit speed of all investments x2 ,
Swiftly To Thy Course ,400,Profit speed of all investments x2 ,
Double Time ,500,Profit speed of all investments x2 ,
Look Alive ,600,Profit speed of all investments x2 ,
Let's Go Let's Go ,700,Profit speed of all investments x2 ,
Make It Snappy ,800,Profit speed of all investments x2 ,
Shake A Leg ,900,Profit speed of all investments x2 ,
Get The Lead Out ,1000,Profit speed of all investments x2 ,
After Burners ,1200,Profit speed of all investments x2 ,
Pedal To The Metal ,1400,Profit speed of all investments x2 ,
Andele ,1600,Profit speed of all investments x2 ,
Light The Fires ,1800,Profit speed of all investments x2 ,
Overdrive! ,2000,Profit speed of all investments x2 ,
Show Them The Meaning Of Haste ,2500,Profit speed of all investments x2 ,Lord of the Rings 
