Name ,Goal ,Effect ,Reference 
Unholy Cow! ,25,Profit x7 ,
What The Heck? ,50,Profit x7 ,A level in Earthworm Jim 
Heckraiser ,100,Profit x7 ,Hellraiser (1984 horror movie) 
Chop Stick Face ,200,Profit x7 ,
Upside Down Hockey Sticks ,300,Profit Speed x2 ,
Aw Heck Nah! ,400,Profit x7 ,
Abandon Hope All Ye Who Enter ,500,Profit x7 ,
Mind The Gap ,600,Profit x7 ,
Heck Gets Real ,666,Profit x666 ,
Gosh ,800,Profit x666 ,
Dawn Of The Darned ,900,Profit x666 ,
Root Of All Badness ,1000,Profit x666 ,
Evil The Kitten ,1250,Profit x666 ,
Rather Sinister ,1500,Profit x666 ,
Heck Trek ,1750,Profit x666 ,
Dial Tone ,2000,Profit x666 ,
Dante's Humid-ish ,2250,Profit x666 ,
Mark Of The Yeast ,2500,Profit x666 ,
Bat Out Of Heck ,2750,Profit x666 ,Bat Out of Hell (TF2 Weapon) 
Abadeer's Summer Home ,3000,Profit x666 ,
Noisy Neighbors ,3250,Profit x666 ,
Eternal Nuisance ,3500,Profit x666 ,
Nefarious ,3725,Profit x666 ,
Bad Boys Bad Boys ,4000,Profit x666 ,
A Snowball's Chance ,4250,Profit x666 ,
Heck With That ,4500,Profit x666 ,
A Little Underwhelming ,4750,Profit x666 ,
Better To Rain In Heck... ,5000,Profit x666 ,
