Name ,Goal ,Effect ,Reference 
iMars ,100,Profit x15 ,iOS 
Tortoiseneck Sweaters ,200,Profit x15 ,turtle neck sweaters 
Reality Showoff ,300,Profit x15 ,
Mac & Me ,400,Profit x15 ,Mac and Me 
Basket of Apples ,500,Profit Speed x2 ,
Easy Mac ,700,Profit x50 ,
Wizard of Woz ,900,Profit x50 ,Wizard of Oz 
Apple Jacked ,1100,Profit x50 ,Apple Jack (My Little Pony series) 
Bang Up Job ,1300,Profit x50 ,
Mars Needs Legal Guardians ,1500,Profit x5050 ,
Jobs Creator ,1700,Profit x50 ,
No Margin For Error ,1900,Profit x50 ,
One and Only ,2100,Profit x50 ,
No Turning Back ,2300,Profit x50 ,
Taking Applicants ,2500,Profit x50 ,
One Way Trip ,2700,Profit x50 ,
Trendy! ,2900,Profit x50 ,
Pleasing Aesthetic ,3100,Profit x50 ,
Patented Corners ,3300,Profit x50 ,
No Dropped Pods ,3500,Profit x50 ,
Expensive ,3700,Profit x50 ,
Fan Boys ,3900,Profit x50 ,
Pre-Planned Innovation ,4100,Profit x50 ,
Mars Won ,4300,Profit x50 ,
We'll Be Right Back ,4500,Profit x50 ,
Technical Difficulties ,4700,Profit x50 ,
Available In Black ,4900,Profit x50 ,
Experts Available ,5100,Profit x50 ,
30 Day Warranty ,5300,Profit x50 ,
So Long Earth ,5500,Profit x50 ,
Voted Off The Planet ,5700,Profit x50 ,
More Like Lands-Drop ,5900,Profit x50 ,
Cozy ,6000,Profit x50 ,
