Name ,Business ,Description ,Price ,Reference 
Shovel Extensions ,Red Dirt ,Red Dirt profit x33 ,"$15,000,000.00 ",
Oiler Oil ,Marsies ,Marsies profit x33 ,"$500,000,000.00 ",
Testosterone Cologne ,Men ,Men profit x33 ,$100 billion ,
Extra Tall Fences ,Buggles ,Buggles profit x33 ,$19 trillion ,
Warning Signs ,Heck Portal ,Heck Portal profit x33 ,$1 quadrillion ,
Interpretors ,Ambassadors ,Ambassadors profit x33 ,$12 quintillion ,
No Chafe Restraints ,Brain-cation ,Brain-cation profit x33 ,$9 sextillion ,
Free Me2 Album ,LiFE Pod ,LiFE Pod profit x33 ,$600 sextillion ,"The album ""Songs of Innocence"" by U2, which was given away for free to all iTunes-users. "
Genetic Modifications ,Terrorformer ,Terrorformer profit x33 ,$3 octillion ,
Plentiful BBQs ,Men ,Men profit x66 ,$1 undecillion ,
Saddles ,Buggles ,Buggles profit x66 ,$3 duodecillion ,
Spray Bottles ,Heck Portal ,Heck Portal profit x66 ,$25 tredecillion ,
Prepackaged Doves ,Ambassadors ,Ambassadors profit x66 ,$130 quattuordecillion ,
Friendly Neuro-Scrubbers ,Brain-cation ,Brain-cation profit x66 ,$300 quindecillion ,
Trendy Commercials ,LiFE Pod ,LiFE Pod profit x66 ,$60 sexdecillion ,
Spider Treats ,Terrorformer ,Terrorformer profit x66 ,$10 septendecillion ,
O2 In A Can ,All businesses ,All profits x33 ,$1 octodecillion ,
Fancy Wheelbarrows ,Red Dirt ,Red Dirt profit x999 ,$1 novemdecillion ,
Cake Injections ,Marsies ,Marsies profit x999 ,$700 novemdecillion ,
Video Games ,Men ,Men profit x99 ,$900 novemdecillion ,
Sugar Licks ,Buggles ,Buggles profit x99 ,$1 vigintillion ,
Brimstone Filters ,Heck Portal ,Heck Portal profit x99 ,$5 unvigintillion ,
Olive Branches ,Ambassadors ,Ambassadors profit x99 ,$17 unvigintillion ,
Discount Uploads ,Brain-cation ,Brain-cation profit x99 ,$99 unvigintillion ,
Innovative Shapes ,LiFE Pod ,LiFE Pod profit x99 ,$231 unvigintillion ,
Obedience Training ,Terrorformer ,Terrorformer profit x99 ,$333 unvigintillion ,
Free Pretzels ,All businesses ,All profits x33 ,$500 duovigintillion ,
Work Gloves ,Red Dirt ,Red Dirt profit x999 ,$123 tresvigintillion ,
