Name ,Goal ,Effect ,Reference 
Eight Legged Freaks ,33,Profit x333 ,
Man Of Steel Reference ,66,Profit x333 ,
Just Go With It ,99,Profit x333 ,
Radioactive ,222,Profit x333 ,
Spiders in Disguise ,333,Profit x333 ,
Arachnophobia ,444,Profit x333 ,
Wicky Wild Wild ,555,Profit x333 ,
Spins a Web Any Size ,666,Profit x333 ,
Element 36 ,777,Profit x333 ,Krypton 
Black Widower ,888,Profit x333 ,
Austrailian Exchange Program ,999,Profit x333 ,
Salutations ,1111,Profit x333 ,
Fire Won't Save You Now ,2222,Profit x333 ,
