Name ,Goal ,Effect ,Reference 
Dizzy Land! ,80,Profit x8 ,Disneyland 
Kids Get In Free ,160,Profit x8 ,
Happiest Place Not On Earth ,240,Profit x8 ,"""The Happiest Place On Earth"" (Disneyland tagline) "
Skip The Lines ,320,Profit x8 ,
A Small Moon Afterall ,480,Profit x8 ,It's A Small World After All (Song) 
Pirates Of The Daedalus ,640,Profit x8 ,Pirates Of The Carribean 
Tomorrow Kingdom ,800,Profit x8 ,Tomorrowland (Disneyland Park) 
Crater Rides ,960,Profit x8 ,
It's A Small Celestial Body ,1200,Profit x8 ,It's A Small World After All (Song) 
Princess Imports ,1440,Profit x888 ,
Star Sweepers ,1680,Profit x888 ,
The Ferris Of Them All ,1920,Profit x888 ,"""The Fairest Of Them All"" (Snow White, fairy tale/film) "
Sweet Dreams ,2160,Profit x888 ,
$90 Water Bottles ,2300,Profit x888 ,
Loop-de-Loompas ,2540,Profit x888 ,
A Puzzle For You ,2780,Profit x888 ,
Oh Boy! ,3000,Profit x888 ,
