Name ,Goal ,Effect ,Reference 
Finally ,1,Profit speed of all investments doubled ,
Now You're Cooking With N204 ,5,Profit speed of all investments doubled ,"""Cooking with Gas"" (N2O4 being Nitrogen Tetroxide - Rocketfuel) "
Special Relativity ,25,Profit speed of all investments doubled ,Special Relativity was a theory by Albert Einstein 
Just A Phase ,50,Profit speed of all investments doubled ,
Dark Side Of The Moon ,75,Profit speed of all investments doubled ,Pink Floyd's Album 
Miami Over Moon ,100,Profit speed of all investments doubled ,Moon Over Miami - movie 
Luny Luna ,150,Profit speed of all investments doubled ,
Apollo-getic ,200,Profit speed of all investments doubled ,Reference to Apollo spacecraft 
Case Of The Moondays ,250,Profit speed of all investments doubled ,Case of the Mondays - phrase used to describe someone that has a bad mood when he or she comes to work or school on Mondays.  
The Moon-arch ,300,Profit speed of all investments doubled ,
Shiny Moonocle ,350,Profit speed of all investments doubled ,
Moonotheism ,400,Profit speed of all investments doubled ,Monotheism is the belief in one god 
Gany-mead ,450,Profit speed of all investments doubled ,Ganymed - Moon of Jupiter 
Titan-ic Achievement ,500,Profit speed of all investments doubled ,"Titan, Saturn's largest moon "
Callisto-riffic ,600,Profit speed of all investments doubled ,"Callisto, one of Jupiter's moons "
I/O ,700,Profit speed of all investments doubled ,"Io, one of Jupiter's moons "
Europa Opa ,800,Profit speed of all investments doubled ,"Europa, one of Jupiter's moons "
Tri-tons Of Fun ,900,Profit speed of all investments doubled ,"Triton, Neptune's largest moon "
Charon Is Caring ,1000,Profit speed of all investments doubled ,Charon is a moon of Pluto 
Moonumental Achievement ,1111,Profit speed of all investments doubled ,
