Name ,Goal ,Effect ,Reference 
MWA HA HA HA ,50,Profit x75 ,
Shark Tank Installation ,100,Profit x75 ,Austin Powers: International Man of Mystery (1997) (Film) 
Laser Sight ,200,Profit x75 ,
Orbital Obliteration ,300,Profit x75 ,
Head Attachments ,400,Profit x75 ,
ZAP! ,500,Profit x75 ,
Fluffy Cat Auditions ,600,Profit x75 ,
Laser Disc Decor ,700,Profit x75 ,
Laser Vision ,800,Profit x75 ,
All The Photons ,900,Profit x75 ,
Judo Chop ,1000,Profit x75 ,Austin Powers: International Man of Mystery (1997) (Film) 
Preparation I ,1111,Profit x75 ,"Austin Powers: International Man of Mystery (1997) (Film) and Preparation H, a hemorrhoid cream "
