Name ,Goal ,Effect ,Reference 
Dime Operated ,30,Profit x1.5 ,
Earth Nostalgia ,60,Profit x1.75 ,
Popular With Kids ,90,Profit x2 ,
Demonstrably Addictive ,120,Profit x2.25 ,
Booth Babes ,160,Profit x2.50 ,
By Appointment ,200,Profit x2.75 ,
Cosplayers? ,240,Profit x3 ,
Experience Jupiter ,280,Profit x3.25 ,
Which Weigh ,330,Profit x3.50 ,
I'm Just Saiyan... ,380,Profit x3.75 ,Dragon Ball (Show) 
Let Go Your Earthly Teather ,430,Profit x4 ,
Gravity Exports ,480,Profit x4.25 ,
Black Hole-istic Healing ,540,Profit x4.50 ,
Shiatsu Packages ,600,Profit x4.75 ,
Nostalgic Purchase ,660,Profit x5 ,
Dial 1 For Gravity ,720,Profit x5.5 ,
Don't Bring Me Down ,790,Profit x5.75 ,"""Don't Bring Me Down"" by Discovery "
Good To The Last Drop ,860,Profit x6 ,
What Goes Up... ,940,Profit x6.25 ,
...Must Come Down ,1020,Profit x6.5 ,
Subsonic Screwdrivers ,1110,Profit x6.75 ,Doctor Who 
Unusual Phenomena ,1200,Profit x7 ,
Mystery Box ,1400,Profit x7.25 ,
Newton Simulator ,1600,Profit x7.5 ,
Moon Hipster Approved ,1800,Profit x7.75 ,
Double Wide Edition ,2000,Profit x999999999 ,
William Code ,2400,Profit x8.5 ,Possible reference to William from Code Lyoko 
